time,ARROBS_HEAD_K:0_I:2_J:15,ARROBS_HEAD_K:0_I:2_J:9,ARROBS_HEAD_K:0_I:3_J:8,ARROBS_HEAD_K:0_I:9_J:1,ARROBS_HEAD_K:0_I:13_J:10,ARROBS_HEAD_K:0_I:15_J:16,ARROBS_HEAD_K:0_I:21_J:10,ARROBS_HEAD_K:0_I:22_J:15,ARROBS_HEAD_K:0_I:24_J:4,ARROBS_HEAD_K:0_I:26_J:6,ARROBS_HEAD_K:0_I:29_J:15,ARROBS_HEAD_K:0_I:33_J:7,ARROBS_HEAD_K:0_I:34_J:10
6667.772150000,34.56328810,35.42057723,35.52618148,36.40063731,34.70354691,34.32824097,34.62139984,34.19402105,35.27819445,34.92954736,34.12481898,34.54852641,34.27914896
6767.772150000,34.56328720,35.42057439,35.52617837,36.40063119,34.70354492,34.32824019,34.62139812,34.19402026,35.27819092,34.92954459,34.12481820,34.54852450,34.27914774
6867.772150000,34.56328298,35.42056238,35.52616530,36.40061002,34.70353866,34.32823721,34.62139191,34.19401742,35.27817815,34.92953449,34.12481553,34.54851778,34.27914289
6967.772150000,34.56328215,35.42055962,35.52616229,36.40060410,34.70353756,34.32823642,34.62139022,34.19401665,35.27817470,34.92953178,34.12481477,34.54851591,34.27914167
7067.772150000,34.56327785,35.42054717,35.52614875,36.40058201,34.70353150,34.32823330,34.62138374,34.19401369,35.27816139,34.92952126,34.12481199,34.54850889,34.27913663
7167.772150000,34.56327701,35.42054464,35.52614596,36.40057662,34.70352968,34.32823261,34.62138221,34.19401299,35.27815825,34.92951879,34.12481129,34.54850720,34.27913551
7267.772150000,34.56327270,35.42053215,35.52613237,36.40055434,34.70352375,34.32822948,34.62137568,34.19401000,35.27814484,34.92950819,34.12480848,34.54850012,34.27913045
7367.772150000,34.56327187,35.42052962,35.52612961,36.40054909,34.70352231,34.32822878,34.62137418,34.19400932,35.27814177,34.92950577,34.12480780,34.54849847,34.27912934
7467.772150000,34.56326839,35.42051952,35.52611861,36.40053103,34.70351686,34.32822625,34.62136888,34.19400690,35.27813090,34.92949717,34.12480553,34.54849272,34.27912524
7567.772150000,34.56326737,35.42051658,35.52611540,36.40052520,34.70351559,34.32822547,34.62136721,34.19400613,35.27812747,34.92949447,34.12480477,34.54849089,34.27912399
