time,TAILWATER
361.7236960422,0.4880555E+16
361.7236960423,0.4880555E+16
361.7236960424,0.4880555E+16
361.7236960426,0.4880555E+16
361.7236960427,0.4880555E+16
361.7236960429,0.4880555E+16
361.7236960430,0.4880555E+16
361.7236960432,0.4880555E+16
361.7236960433,0.4880555E+16
361.7236960434,0.4880555E+16
361.7236960436,0.4880555E+16
361.7236960437,0.4880555E+16
361.7236960438,0.4880555E+16
361.7236960439,0.4880555E+16
361.7236960440,0.4880555E+16
361.7236960441,0.4880555E+16
361.7236960442,0.4880555E+16
361.7236960443,0.4880555E+16
361.7236960445,0.4880555E+16
361.7236960446,0.4880555E+16
361.7236960447,0.4880555E+16
361.7236960449,0.4880555E+16
361.7236960453,0.4880555E+16
361.7236960455,0.4880555E+16
361.7236960456,0.4880555E+16
361.7236960457,0.4880555E+16
361.7236960459,0.4880555E+16
361.7236960463,0.4880555E+16
361.7236960464,0.4880555E+16
361.7236960467,0.4880555E+16
361.7236960469,0.4880555E+16
361.7236960470,0.4880555E+16
361.7236960472,0.4880555E+16
361.7236960476,0.4880555E+16
361.7236960484,0.4880555E+16
361.7236960500,0.4880555E+16
361.7236960532,0.4880555E+16
361.7236960545,0.4880555E+16
361.7236960570,0.4880555E+16
361.7236960622,0.4880555E+16
361.7236960626,0.4880555E+16
361.7236960627,0.4880555E+16
361.7236960628,0.4880555E+16
361.7236960630,0.4880555E+16
361.7236960634,0.4880555E+16
361.7236960636,0.4880555E+16
361.7236960639,0.4880555E+16
361.7236960641,0.4880555E+16
361.7236960644,0.4880555E+16
361.7236960645,0.4880555E+16
361.7236960646,0.4880555E+16
361.7236960648,0.4880555E+16
361.7236960652,0.4880555E+16
361.7236960660,0.4880555E+16
361.7236960676,0.4880555E+16
361.7236960678,0.4880555E+16
361.7236960680,0.4880555E+16
361.7236960682,0.4880555E+16
361.7236960683,0.4880555E+16
361.7236960684,0.4880555E+16
361.7236960685,0.4880555E+16
361.7236960687,0.4880555E+16
361.7236960691,0.4880555E+16
361.7236960693,0.4880555E+16
361.7236960697,0.4880555E+16
361.7236960698,0.4880555E+16
361.7236960701,0.4880555E+16
361.7236960708,0.4880555E+16
361.7236960721,0.4880555E+16
361.7236960746,0.4880555E+16
361.7236960756,0.4880555E+16
361.7236960777,0.4880555E+16
