pargpnme,inctyp,derinc,derinclb,forcen,derincmul,dermthd,splitthresh,splitreldiff,splitaction
wel_277,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_423,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_377,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_246,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_617,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_511,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_365,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_162,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_283,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_530,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_208,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_605,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_108,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_167,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_18,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_684,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_473,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_379,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_713,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_405,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_177,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_450,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_169,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_358,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_139,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_564,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_314,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_566,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_668,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_56,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_249,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_609,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_410,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_234,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_724,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
