,sidx,idx_strs,pargp9,parval1_9,9
81,"(0, 0, 0, 46)",idx0:0_idx1:0_idx2:0_idx3:46,sfr_rhk,1.0,1.00000000000000000000000000000000000000000000000000000000
82,"(69, 0, 69, 46)",idx0:69_idx1:0_idx2:69_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
83,"(21, 0, 21, 46)",idx0:21_idx1:0_idx2:21_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
84,"(93, 0, 93, 46)",idx0:93_idx1:0_idx2:93_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
85,"(68, 0, 68, 46)",idx0:68_idx1:0_idx2:68_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
86,"(77, 0, 77, 46)",idx0:77_idx1:0_idx2:77_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
87,"(22, 0, 22, 46)",idx0:22_idx1:0_idx2:22_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
88,"(53, 0, 53, 46)",idx0:53_idx1:0_idx2:53_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
89,"(6, 0, 6, 46)",idx0:6_idx1:0_idx2:6_idx3:46,sfr_rhk,1.0,1.00000000000000000000000000000000000000000000000000000000
90,"(64, 0, 64, 46)",idx0:64_idx1:0_idx2:64_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
91,"(40, 0, 40, 46)",idx0:40_idx1:0_idx2:40_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
92,"(89, 0, 89, 46)",idx0:89_idx1:0_idx2:89_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
93,"(98, 0, 98, 46)",idx0:98_idx1:0_idx2:98_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
94,"(74, 0, 74, 46)",idx0:74_idx1:0_idx2:74_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
95,"(73, 0, 73, 46)",idx0:73_idx1:0_idx2:73_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
96,"(79, 0, 79, 46)",idx0:79_idx1:0_idx2:79_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
97,"(55, 0, 55, 46)",idx0:55_idx1:0_idx2:55_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
98,"(26, 0, 26, 46)",idx0:26_idx1:0_idx2:26_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
99,"(119, 0, 119, 46)",idx0:119_idx1:0_idx2:119_idx3:46,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
100,"(2, 0, 2, 46)",idx0:2_idx1:0_idx2:2_idx3:46,sfr_rhk,1.0,1.00000000000000000000000000000000000000000000000000000000
101,"(54, 0, 54, 46)",idx0:54_idx1:0_idx2:54_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
102,"(11, 0, 11, 46)",idx0:11_idx1:0_idx2:11_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
103,"(100, 0, 100, 46)",idx0:100_idx1:0_idx2:100_idx3:46,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
104,"(20, 0, 20, 46)",idx0:20_idx1:0_idx2:20_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
105,"(103, 0, 103, 46)",idx0:103_idx1:0_idx2:103_idx3:46,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
106,"(56, 0, 56, 46)",idx0:56_idx1:0_idx2:56_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
107,"(75, 0, 75, 46)",idx0:75_idx1:0_idx2:75_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
108,"(32, 0, 32, 46)",idx0:32_idx1:0_idx2:32_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
109,"(112, 0, 112, 46)",idx0:112_idx1:0_idx2:112_idx3:46,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
110,"(84, 0, 84, 46)",idx0:84_idx1:0_idx2:84_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
111,"(41, 0, 41, 46)",idx0:41_idx1:0_idx2:41_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
112,"(4, 0, 4, 46)",idx0:4_idx1:0_idx2:4_idx3:46,sfr_rhk,1.0,1.00000000000000000000000000000000000000000000000000000000
113,"(31, 0, 31, 46)",idx0:31_idx1:0_idx2:31_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
114,"(13, 0, 13, 46)",idx0:13_idx1:0_idx2:13_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
115,"(16, 0, 16, 46)",idx0:16_idx1:0_idx2:16_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
116,"(105, 0, 105, 46)",idx0:105_idx1:0_idx2:105_idx3:46,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
